21,83
403,97
472,2
574,32
625,83
873,39
1252,31
1591,57
1700,69
1749,16
1956,97
2067,58
2422,66
2516,17
2549,16
2607,74
3690,97
3733,49
3844,3
3900,46
4057,60
4146,41
4184,5
4315,96
4395,54
4483,82
4727,20
4885,51
5058,32
5088,1
5448,44
5498,52
5722,24
5949,13
6283,80
6405,50
6816,24
6918,13
7199,90
7221,67
7305,43
7440,60
7523,39
7535,15
7568,29
7626,3
7957,77
8417,51
8450,82
8476,49
8527,57
8621,69
8699,79
8757,29
8834,92
8895,3
8949,50
9108,35
9341,42
9477,57
9654,91
9851,90
9898,68
9919,46
9997,83
10100,79
10422,78
10773,92
10990,44
11091,52
11479,43
11482,82
11779,55
11878,86
11893,77
11913,55
11935,58
12032,91
12121,17
12237,78
12377,78
12394,27
12395,5
12802,100
12833,48
13059,35
13589,79
13855,43
14103,67
14239,77
14287,20
14364,56
14389,60
14689,60
14698,60
14982,14
14996,90
14997,24
15205,24
15213,77
15541,50
15560,37
15998,15
16041,77
16509,48
16636,3
16637,54
17468,92
17665,82
17849,91
18004,90
18859,48
19023,52
19086,33
19116,74
19328,50
19697,74
19755,29
19822,60
19854,37
19866,66
20283,29
20765,100
20803,36
20993,74
21197,14
21300,96
21302,97
21537,57
21683,58
22092,3
22219,77
22273,33
22457,44
22689,54
22942,17
23076,52
23161,50
23452,35
23592,27
23868,87
24137,82
24358,17
24658,43
24917,14
25423,52
25574,91
25649,50
25651,93
26393,82
26624,36
26658,2
26711,51
26738,33
26957,66
27081,68
27226,35
27384,52
27547,33
27719,80
27883,29
27947,81
27975,33
28404,52
28441,62
28855,77
28889,62
28889,42
28946,86
28969,100
29068,33
29102,17
29127,17
29230,55
29749,31
29776,53
29864,91
30196,33
30269,91
30461,50
30601,80
30647,20
30667,78
30786,15
30959,5
31241,3
31356,92
31385,42
31446,51
31558,83
31995,90
32323,14
32342,66
32766,69
32772,82
32815,54
32866,81
33005,48
33041,9
33193,55
33364,90
33436,79
33460,82
33692,41
33704,24
33858,69
34003,58
34060,52
34122,32
34204,44
34634,82
34769,14
34996,88
35112,57
35115,15
35145,19
35269,55
35593,77
35894,27
35933,97
36084,90
36130,100
36450,5
36587,27
36608,16
36800,91
37084,74
37473,90
37678,19
37826,15
37871,31
37968,93
38078,96
38119,91
38333,2
39640,3
39659,50
39825,77
40052,80
40104,27
40112,31
40281,51
40285,88
40318,82
40517,56
40530,39
40634,55
41150,56
41180,91
41224,82
41541,72
42237,32
42387,35
42450,79
42470,29
42494,17
42828,91
43426,3
43746,74
44265,35
44692,36
44750,44
44940,33
45184,77
45260,77
45399,19
45455,91
45676,42
45693,13
45862,77
45913,77
45944,27
46205,87
46295,33
46441,78
46731,16
46756,91
46821,58
47233,91
47375,20
47549,17
47637,29
47824,79
47849,79
48056,3
48295,1
48724,27
49065,69
49175,97
49423,58
49466,88
49530,77
49620,62
49681,72
49718,79
49732,62
50064,88
50065,83
50092,52
50326,49
50474,50
50745,83
50767,68
50975,82
51032,60
51092,33
51098,69
51692,27
51705,20
51998,86
52683,83
52895,37
53027,54
53128,90
53442,5
53555,5
53914,86
53927,3
54115,5
54200,79
54993,14
55007,24
55035,80
55220,67
55303,44
55350,66
55684,48
55701,27
55914,58
56008,15
56359,24
56787,97
57177,42
57300,66
57393,29
57455,83
57771,16
57787,81
58504,51
58708,52
59037,93
59082,82
59349,60
59365,96
59757,42
59775,67
59896,3
60015,3
60025,52
60396,62
60775,83
60974,3
61072,68
61398,5
61471,68
61483,77
61490,91
61758,49
61924,36
62064,46
62458,34
62627,86
62831,42
63096,48
63101,35
63389,66
63425,55
63632,29
63719,33
63783,31
64083,27
64099,36
64119,55
64154,69
64209,91
64495,36
64713,78
65129,49
65406,67
65520,58
65563,83
66420,97
66551,55
66607,3
66978,83
